true_class,predicted_as,confusion_count
cat,dog,74
dog,cat,70
cat,frog,55
cat,deer,33
horse,deer,30
bird,frog,28
truck,automobile,27
cat,bird,26
ship,airplane,26
dog,frog,25
dog,deer,24
deer,frog,23
airplane,ship,22
bird,deer,21
dog,bird,20
automobile,truck,17
bird,airplane,17
deer,bird,17
horse,bird,16
ship,truck,15
cat,airplane,14
dog,horse,14
cat,horse,13
horse,dog,13
truck,airplane,12
airplane,bird,11
frog,bird,10
bird,cat,10
bird,dog,9
deer,dog,9
ship,automobile,8
airplane,cat,7
truck,ship,7
airplane,automobile,5
frog,cat,5
deer,horse,5
dog,airplane,5
deer,cat,5
horse,airplane,5
horse,cat,5
airplane,frog,4
airplane,deer,4
automobile,airplane,4
airplane,truck,4
bird,horse,4
airplane,horse,3
truck,frog,3
ship,bird,3
cat,ship,3
frog,airplane,3
automobile,ship,3
airplane,dog,2
cat,truck,2
deer,airplane,2
truck,cat,2
truck,bird,2
automobile,frog,2
bird,ship,2
ship,cat,1
truck,horse,1
horse,truck,1
frog,truck,1
dog,automobile,1
deer,truck,1
ship,frog,1
dog,truck,1
cat,automobile,1
ship,horse,1
ship,deer,1
ship,dog,1
deer,automobile,1
frog,dog,1
automobile,dog,0
automobile,horse,0
bird,automobile,0
automobile,deer,0
automobile,cat,0
automobile,bird,0
frog,automobile,0
dog,ship,0
deer,ship,0
bird,truck,0
horse,ship,0
horse,frog,0
frog,deer,0
horse,automobile,0
frog,ship,0
frog,horse,0
truck,deer,0
truck,dog,0
