true_class,predicted_as,confusion_count
cat,dog,71
dog,cat,66
cat,frog,52
cat,deer,30
bird,frog,30
truck,automobile,29
dog,frog,27
horse,deer,27
cat,bird,25
dog,deer,24
airplane,ship,21
ship,airplane,20
dog,bird,20
bird,deer,19
deer,frog,18
automobile,truck,16
bird,airplane,15
horse,dog,14
dog,horse,14
ship,truck,14
cat,airplane,13
bird,dog,13
deer,bird,12
horse,bird,12
cat,horse,12
airplane,bird,11
truck,airplane,10
ship,automobile,8
frog,bird,8
deer,horse,7
truck,ship,7
deer,cat,6
bird,cat,6
deer,dog,6
horse,airplane,6
airplane,truck,5
airplane,deer,5
frog,cat,5
ship,bird,5
bird,horse,5
airplane,frog,4
airplane,cat,4
frog,airplane,4
horse,cat,4
dog,airplane,4
cat,truck,3
airplane,automobile,3
cat,ship,3
automobile,airplane,3
airplane,horse,3
automobile,ship,3
automobile,frog,2
truck,frog,2
truck,bird,2
horse,frog,2
ship,frog,2
truck,cat,2
frog,deer,2
ship,cat,2
deer,airplane,2
frog,horse,1
ship,horse,1
frog,truck,1
deer,truck,1
bird,ship,1
airplane,dog,1
truck,horse,1
horse,truck,1
cat,automobile,1
ship,deer,1
dog,automobile,1
dog,truck,1
automobile,dog,0
automobile,horse,0
bird,automobile,0
automobile,deer,0
automobile,cat,0
automobile,bird,0
bird,truck,0
dog,ship,0
deer,ship,0
deer,automobile,0
frog,automobile,0
frog,dog,0
frog,ship,0
horse,automobile,0
horse,ship,0
ship,dog,0
truck,deer,0
truck,dog,0
