true_class,predicted_as,confusion_count
bird,frog,168
cat,dog,167
deer,frog,160
cat,frog,143
dog,cat,113
deer,horse,87
bird,airplane,82
automobile,truck,71
truck,automobile,71
bird,deer,70
dog,horse,61
bird,horse,57
cat,horse,55
bird,dog,54
airplane,ship,53
dog,frog,53
cat,deer,53
airplane,truck,51
ship,airplane,50
ship,truck,46
dog,deer,45
horse,dog,42
ship,automobile,42
horse,deer,39
bird,cat,36
cat,bird,36
deer,cat,32
deer,bird,32
cat,truck,32
cat,airplane,27
deer,airplane,27
frog,cat,25
airplane,automobile,23
bird,truck,23
deer,dog,21
dog,bird,20
airplane,bird,20
dog,airplane,18
horse,frog,18
horse,cat,17
cat,ship,17
dog,truck,17
truck,airplane,17
cat,automobile,16
horse,airplane,15
horse,bird,15
airplane,frog,15
horse,truck,14
frog,bird,14
frog,truck,13
frog,dog,12
truck,ship,12
automobile,airplane,11
airplane,horse,11
frog,airplane,10
airplane,deer,10
bird,automobile,10
dog,automobile,9
truck,cat,9
frog,deer,9
deer,ship,8
bird,ship,8
truck,frog,8
airplane,cat,7
ship,cat,7
automobile,frog,7
horse,ship,7
truck,horse,6
automobile,ship,6
ship,bird,6
frog,automobile,5
dog,ship,5
deer,truck,5
deer,automobile,4
ship,frog,4
ship,horse,4
frog,ship,4
horse,automobile,3
frog,horse,3
automobile,cat,3
airplane,dog,2
truck,deer,2
truck,dog,2
ship,dog,1
ship,deer,1
automobile,bird,1
truck,bird,1
automobile,dog,0
automobile,horse,0
automobile,deer,0
