true_class,predicted_as,confusion_count
cat,dog,102
dog,cat,100
cat,frog,94
deer,horse,94
deer,frog,68
bird,frog,59
truck,automobile,48
ship,airplane,47
bird,deer,40
airplane,ship,40
automobile,truck,38
dog,horse,36
bird,cat,36
dog,frog,35
bird,airplane,33
deer,cat,29
cat,deer,26
bird,dog,24
airplane,truck,24
cat,horse,23
ship,truck,22
deer,bird,22
horse,dog,21
cat,bird,19
horse,cat,19
dog,deer,17
frog,bird,16
cat,airplane,16
deer,dog,14
bird,horse,14
horse,deer,14
deer,airplane,14
ship,automobile,13
cat,ship,13
horse,airplane,13
airplane,bird,12
frog,cat,12
cat,truck,11
truck,airplane,11
horse,truck,11
airplane,horse,11
airplane,automobile,10
cat,automobile,9
frog,deer,8
truck,ship,8
dog,bird,8
frog,airplane,7
automobile,airplane,7
horse,bird,6
horse,frog,6
automobile,ship,6
bird,truck,5
frog,dog,5
dog,ship,5
ship,cat,4
airplane,deer,4
airplane,frog,4
bird,automobile,3
airplane,cat,3
frog,ship,3
truck,cat,3
truck,frog,3
truck,horse,3
frog,horse,3
dog,airplane,3
bird,ship,3
ship,frog,2
ship,bird,2
deer,truck,2
dog,truck,2
deer,ship,2
ship,horse,2
automobile,dog,2
deer,automobile,2
horse,ship,2
automobile,frog,1
horse,automobile,1
dog,automobile,1
automobile,cat,1
automobile,bird,0
automobile,horse,0
airplane,dog,0
automobile,deer,0
frog,automobile,0
frog,truck,0
ship,dog,0
ship,deer,0
truck,bird,0
truck,deer,0
truck,dog,0
