true_class,predicted_as,confusion_count
cat,dog,76
cat,frog,65
dog,cat,65
deer,frog,49
bird,frog,46
truck,automobile,31
cat,deer,29
deer,horse,28
bird,deer,26
ship,airplane,24
bird,airplane,23
dog,frog,21
dog,deer,20
airplane,ship,19
automobile,truck,17
cat,horse,17
cat,bird,16
dog,horse,16
horse,deer,16
airplane,truck,16
cat,airplane,12
ship,truck,12
deer,bird,11
airplane,automobile,10
bird,horse,9
bird,dog,9
truck,airplane,9
dog,bird,9
horse,bird,9
airplane,bird,8
horse,dog,8
bird,cat,8
deer,cat,7
dog,airplane,6
frog,bird,6
cat,truck,6
cat,ship,5
horse,truck,5
ship,automobile,5
automobile,airplane,4
airplane,cat,4
airplane,frog,4
horse,frog,4
truck,ship,4
horse,airplane,4
frog,cat,4
deer,airplane,4
frog,airplane,4
deer,dog,4
bird,truck,3
truck,cat,3
airplane,horse,3
automobile,ship,3
bird,ship,2
airplane,deer,2
truck,frog,2
cat,automobile,2
airplane,dog,1
frog,truck,1
horse,cat,1
ship,dog,1
ship,cat,1
ship,bird,1
deer,ship,1
frog,dog,1
deer,automobile,1
truck,bird,1
ship,frog,1
dog,truck,1
dog,automobile,1
deer,truck,1
frog,deer,1
automobile,horse,0
automobile,frog,0
bird,automobile,0
automobile,deer,0
automobile,bird,0
automobile,cat,0
automobile,dog,0
dog,ship,0
frog,automobile,0
horse,automobile,0
horse,ship,0
frog,horse,0
frog,ship,0
ship,deer,0
ship,horse,0
truck,deer,0
truck,dog,0
truck,horse,0
